clean.png,corr,watermark_present
1,0.0326652,0
2,0.0266984,0
3,0.020578,0
4,0.0222788,0
5,0.0464059,0
6,0.03272,0
7,0.043587,0
8,0.0232366,0
9,0.0514533,0
10,0.0572929,0
11,0.0499961,0
12,0.0095074,0
13,0.0524061,0
14,0.106183,0
15,0.0118982,0
16,0.0573469,0
17,0.048247,0
18,0.0775054,0
19,0.0215734,0
20,0.515513,1
21,0.0359139,0
22,0.0250066,0
23,0.0625102,0
24,0.00176929,0
25,0.0798154,0
26,0.0633049,0
27,0.0452239,0
28,0.0383719,0
29,0.010936,0
30,0.0335541,0
31,0.0293644,0
32,0.065409,0
33,0.0959046,0
34,0.0976352,0
35,0.0842879,0
36,0.0527786,0
37,0.0179678,0
38,0.0562668,0
39,0.0793314,0
40,0.0459193,0
41,0.0284963,0
42,0.00599381,0
43,0.128113,0
44,0.0158936,0
45,0.104267,0
46,0.0148844,0
47,0.00404339,0
48,0.0525017,0
49,0.00616551,0
50,0.0158139,0
51,0.0615073,0
52,0.0674677,0
53,0.0229356,0
54,0.0282184,0
55,0.0256914,0
56,0.0185773,0
57,0.0708023,0
58,0.00864305,0
59,0.0371182,0
60,0.0763833,0
61,0.0215597,0
62,0.0994779,0
63,0.0311522,0
64,0.00706904,0
65,0.0286926,0
66,0.0253371,0
67,0.0200549,0
68,0.0076369,0
69,0.0660584,0
70,0.0677529,0
71,0.0172398,0
72,0.0360795,0
73,0.10521,0
74,0.0375815,0
75,0.0674741,0
76,0.0459939,0
77,0.0389281,0
78,0.00515105,0
79,0.0440354,0
80,0.0189255,0
81,0.0437334,0
82,0.00557815,0
83,0.0315743,0
84,0.0327247,0
85,0.0266716,0
86,0.0189611,0
87,0.0384851,0
88,0.050276,0
89,0.00490499,0
90,0.0366108,0
91,0.02043,0
92,0.0178238,0
93,0.0194327,0
94,0.0544325,0
95,0.0167535,0
96,0.0086021,0
97,0.0508103,0
98,0.0461118,0
99,0.0377247,0
100,0.0407722,0
