Kamehouse.png,corr,watermark_present
1,0.0580107,0
2,0.00187092,0
3,0.0726297,0
4,0.0377308,0
5,0.0403958,0
6,0.0328376,0
7,0.0325559,0
8,0.073777,0
9,0.0888277,0
10,0.0844751,0
11,0.0677556,0
12,0.0710553,0
13,0.00581609,0
14,0.0265193,0
15,0.369066,1
16,0.0956775,0
17,0.0469915,0
18,0.0502135,0
19,0.0873166,0
20,0.0981685,0
21,0.00151029,0
22,0.0616703,0
23,0.0692948,0
24,0.0456514,0
25,0.015077,0
26,0.0422134,0
27,1.53893e-05,0
28,0.0910024,0
29,0.0682357,0
30,0.0489819,0
31,0.0824807,0
32,0.0400807,0
33,0.0162205,0
34,0.0493046,0
35,0.00793323,0
36,0.0172675,0
37,0.0313951,0
38,0.0127927,0
39,0.0665262,0
40,0.0105788,0
41,0.000955993,0
42,0.0245859,0
43,0.0275791,0
44,0.043226,0
45,0.0147017,0
46,0.0154984,0
47,0.0753892,0
48,0.0136921,0
49,0.0195768,0
50,0.0131518,0
51,0.00916519,0
52,0.0603954,0
53,0.0400956,0
54,0.101085,0
55,0.0488188,0
56,0.0482961,0
57,0.0273145,0
58,0.0783051,0
59,0.0831056,0
60,0.00607511,0
61,0.00973736,0
62,0.00582261,0
63,0.0220479,0
64,0.00919568,0
65,0.00157178,0
66,0.0608313,0
67,0.0483492,0
68,0.0899396,0
69,0.02627,0
70,0.033876,0
71,0.0715744,0
72,0.0269978,0
73,0.0322861,0
74,0.0389605,0
75,0.11583,0
76,0.00153099,0
77,0.00967306,0
78,0.00150064,0
79,0.0598074,0
80,0.00939512,0
81,0.0108082,0
82,0.0751297,0
83,0.0415336,0
84,0.058966,0
85,0.0592901,0
86,0.0349471,0
87,0.0965092,0
88,0.0651355,0
89,0.106117,0
90,0.0191936,0
91,0.00578784,0
92,0.0395931,0
93,0.023102,0
94,0.021443,0
95,0.0270607,0
96,0.0514555,0
97,0.0399652,0
98,0.0279291,0
99,0.0589674,0
100,0.0438004,0
