nature.png,corr,watermark_present
1,0.00239485,0
2,0.0701353,0
3,0.0380121,0
4,0.0456615,0
5,0.00242878,0
6,0.0766093,0
7,0.0297921,0
8,0.0425926,0
9,0.128954,0
10,0.0567997,0
11,0.0339522,0
12,0.0388542,0
13,0.0302673,0
14,0.0247297,0
15,0.0268054,0
16,0.0651808,0
17,0.0551201,0
18,0.0667085,0
19,0.0218293,0
20,0.0264446,0
21,0.0170821,0
22,0.0736181,0
23,0.0339067,0
24,0.0200252,0
25,0.129349,0
26,0.0547401,0
27,0.0205121,0
28,0.0381251,0
29,0.0253812,0
30,0.0553132,0
31,0.00247879,0
32,0.0337647,0
33,0.00338832,0
34,0.0392694,0
35,0.0426289,0
36,0.0472158,0
37,0.477078,1
38,0.100036,0
39,0.034052,0
40,0.0899174,0
41,0.0359332,0
42,0.0033984,0
43,0.100866,0
44,0.0713789,0
45,0.0489473,0
46,0.0180853,0
47,0.0255601,0
48,0.0202721,0
49,0.054987,0
50,0.02437,0
51,0.0646594,0
52,0.0442987,0
53,0.0584556,0
54,0.0663332,0
55,0.0562736,0
56,0.0261521,0
57,0.0583977,0
58,0.017981,0
59,0.0452401,0
60,0.0221434,0
61,0.103928,0
62,0.0362283,0
63,0.0120577,0
64,0.111609,0
65,0.0123667,0
66,0.0759545,0
67,0.0496831,0
68,0.00634582,0
69,0.00810971,0
70,0.0624063,0
71,0.0301455,0
72,0.0216568,0
73,0.10901,0
74,0.0195993,0
75,0.0485912,0
76,0.0075468,0
77,0.00701773,0
78,0.0840522,0
79,0.0392282,0
80,0.0870267,0
81,0.0326109,0
82,0.00734105,0
83,0.144176,0
84,0.0308335,0
85,0.0484161,0
86,0.0282981,0
87,0.0397111,0
88,0.0380381,0
89,0.0360779,0
90,0.0389861,0
91,0.0153013,0
92,0.0855352,0
93,0.0655872,0
94,0.0677124,0
95,0.0162176,0
96,0.0242104,0
97,0.0572849,0
98,0.117917,0
99,0.100285,0
100,0.00798722,0
